system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,GFW_defory,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
000000000000000012dd_000000000000000012dd_0_000000000000000012dd_0_000000000000000012dd_0,1679.0,117.897270203,1020.0,4824.03369141,2017,2017,0,CFAM3,9.10674953461,855555.0,7917165.0,1536.74987793,170.0,3889.6015625,10430.3837891,2388.72338867,0.0179760288447,45883.3671875,0,36087,0,0,17.0,sample_294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012de_000000000000000012de_0_000000000000000012de_0_000000000000000012de_0,1679.0,100.007980347,986.0,4848.69042969,2017,0,2017,CFAM3,4.11407518387,855705.0,7917165.0,1447.79138184,120.0,3844.80175781,10493.8271484,2253.99633789,0.0171515494585,45814.3085938,0,36088,0,0,17.0,sample_295,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012e1_000000000000000012e1_0_000000000000000012e1_0_000000000000000012e1_0,1690.0,102.030593872,1001.0,5087.80908203,2018,2023,0,CFAM3,14.5674772263,856605.0,7917165.0,1170.0,408.0,3694.38769531,10044.0878906,1489.4630127,0.0158874280751,45529.15625,0,36094,0,0,0.0,sample_298,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012e3_000000000000000012e3_0_000000000000000012e3_0_000000000000000012e3_0,1701.0,252.012664795,994.0,5199.78857422,2015,0,2015,CFAM3,18.6402759552,856905.0,7917165.0,1207.84936523,120.0,3690.48779297,9902.40917969,1240.20153809,0.016153100878,45415.7421875,0,36096,0,0,15.0,sample_300,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012e5_000000000000000012e5_0_000000000000000012e5_0_000000000000000012e5_0,1701.0,259.624145508,1011.0,5326.33105469,2015,2020,2015,CFAM3,16.7387313843,857205.0,7917165.0,1263.21020508,30.0,3707.51928711,9767.29199219,990.454467773,0.0160733684897,45336.0039063,0,36098,0,0,15.0,sample_302,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012e6_000000000000000012e6_0_000000000000000012e6_0_000000000000000012e6_0,1716.0,111.161262512,1023.0,5394.74755859,2015,0,0,CFAM3,15.48341465,857355.0,7917165.0,1261.42773438,95.0,3725.07714844,9701.88085938,865.332336426,0.0162338856608,45285.3554688,0,36099,0,0,0.0,sample_303,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ea_000000000000000012ea_0_000000000000000012ea_0_000000000000000012ea_0,1716.0,171.469238281,1007.0,4863.33203125,2015,0,2015,CFAM3,9.5662355423,858105.0,7917165.0,1497.89855957,150.0,3841.87451172,9090.04980469,192.093734741,0.0154250767082,45102.6367188,0,36104,0,0,15.0,sample_307,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012eb_000000000000000012eb_0_000000000000000012eb_0_000000000000000012eb_0,1716.0,7.30575895309,983.0,4747.68359375,2015,2020,2015,CFAM3,9.30411529541,858255.0,7917165.0,1584.04541016,95.0,3878.47900391,8970.20019531,84.8528137207,0.0156579501927,45082.0039063,0,36105,0,0,15.0,sample_308,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ba_000000000000000012ba_0_000000000000000012ba_0_000000000000000012ba_0,1690.0,42.5104484558,989.0,5228.69970703,2018,2021,0,CFAM3,7.72540521622,856605.0,7917315.0,1320.0,390.0,3544.57324219,10175.6181641,1572.92724609,0.0158703289926,45545.4414063,0,36508,0,0,0.0,sample_332,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012bb_000000000000000012bb_0_000000000000000012bb_0_000000000000000012bb_0,1690.0,86.1859283447,975.0,5281.36328125,2018,2017,0,CFAM3,7.14066934586,856755.0,7917315.0,1328.49536133,240.0,3540.12719727,10104.8359375,1447.79138184,0.0152893243358,45487.0390625,0,36509,0,0,0.0,sample_333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012bf_000000000000000012bf_0_000000000000000012bf_0_000000000000000012bf_0,1716.0,266.423675537,977.0,5310.08496094,2015,0,2015,CFAM3,7.60928869247,857655.0,7917315.0,1455.23193359,60.0,3606.24462891,9541.69824219,644.127319336,0.0156372655183,45225.2773438,0,36515,0,0,15.0,sample_337,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c1_000000000000000012c1_0_000000000000000012c1_0_000000000000000012c1_0,1716.0,290.224853516,999.0,5074.34716797,2017,2021,2016,CFAM3,14.2035980225,857955.0,7917315.0,1556.82373047,247.0,3660.73754883,9300.0,403.608734131,0.0156243722886,45156.4492188,0,36517,0,0,17.0,sample_339,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012c2_000000000000000012c2_0_000000000000000012c2_0_000000000000000012c2_0,1716.0,28.4429283142,1005.0,4959.08251953,2018,2024,2018,CFAM3,12.8142366409,858105.0,7917315.0,1626.09960938,170.0,3696.70117188,9180.44140625,296.984863281,0.0153367677703,45113.015625,0,36518,0,0,18.0,sample_340,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001266_00000000000000001266_0_00000000000000001266_0_00000000000000001266_0,1679.0,133.315322876,982.0,5251.02832031,2023,2023,0,CFAM3,11.3338165283,855405.0,7917615.0,1988.61755371,67.0,3521.64746094,9958.9609375,2738.06494141,0.0154977338389,46004.734375,0,37328,0,0,0.0,sample_402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000126d_0000000000000000126d_0_0000000000000000126d_0_0000000000000000126d_0,1690.0,354.522644043,998.0,5511.92333984,2023,2023,0,CFAM3,16.991153717,856605.0,7917615.0,1620.0,474.0,3244.99609375,10440.1728516,1727.54162598,0.0154515895993,45568.75,0,37336,0,0,0.0,sample_409,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001274_00000000000000001274_0_00000000000000001274_0_00000000000000001274_0,1716.0,332.92791748,999.0,5382.05371094,2017,2023,0,CFAM3,11.8911266327,857805.0,7917615.0,1784.43273926,95.0,3335.94067383,9601.171875,721.248901367,0.0159846823663,45195.0429688,0,37344,0,0,0.0,sample_416,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000123d_0000000000000000123d_0_0000000000000000123d_0_0000000000000000123d_0,1690.0,355.601287842,975.0,5654.18408203,2018,2018,0,CFAM3,3.1096329689,856605.0,7917765.0,1770.0,481.0,3095.23828125,10392.9980469,1785.18908691,0.0151739316061,45583.5664063,0,37750,0,0,0.0,sample_456,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001228_00000000000000001228_0_00000000000000001228_0_00000000000000001228_0,1700.0,332.354034424,1081.0,4364.97412109,2004,2003,0,CFAM3,11.1751413345,859755.0,7917915.0,954.829833984,277.0,3074.23168945,8338.97460938,161.554946899,0.0190551914275,44816.796875,0,38185,0,0,0.0,sample_520,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001188_00000000000000001188_0_00000000000000001188_0_00000000000000001188_0,1658.0,123.996459961,1010.0,5443.90478516,2020,2020,0,CFAM3,12.1943836212,854655.0,7919115.0,2194.92602539,90.0,2743.1550293,8282.71679688,4141.84765625,0.014708539471,46470.1679688,0,41463,0,0,0.0,sample_664,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000118f_0000000000000000118f_0_0000000000000000118f_0_0000000000000000118f_0,1680.0,45.0,975.0,6111.75927734,2017,2016,0,CFAM3,1.35022449493,855705.0,7919115.0,2760.65209961,95.0,2047.92578125,8772.16601563,3280.30493164,0.0151154398918,45987.0078125,0,41470,0,0,18.0,sample_671,"{""type"":""MultiPoint"",""coordinates"":[]}"
