system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
000000000000000013e1_000000000000000013e1_0_000000000000000013e1_0,1714.0,17.10272789,1011.0,3478.57739258,0,2015,CFAM3,12.7725782394,858705.0,7915515.0,1063.20275879,313.0,5588.703125,7648.82324219,1114.85424805,0.0184617601335,44886.5507813,0,31554,0,0,15.0,sample_53,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e2_000000000000000013e2_0_000000000000000013e2_0,1714.0,116.565048218,1007.0,3342.00537109,0,0,CFAM3,17.5769672394,858855.0,7915515.0,1030.97045898,306.0,5623.77978516,7553.80712891,1253.55493164,0.017218504101,44858.296875,0,31555,0,0,0.0,sample_54,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e3_000000000000000013e3_0_000000000000000013e3_0,1714.0,307.874969482,1009.0,3206.63378906,0,0,CFAM3,23.1498947144,859005.0,7915515.0,1020.0,366.0,5562.22998047,7424.31835938,1389.74816895,0.0170436296612,44831.9609375,0,31556,0,0,0.0,sample_55,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e4_000000000000000013e4_0_000000000000000013e4_0,1714.0,5.19442796707,1042.0,3072.62109375,0,0,CFAM3,12.9588422775,859155.0,7915515.0,1020.44110107,395.0,5504.08007813,7295.61523438,1514.33154297,0.0171359200031,44819.5039063,0,31557,0,0,0.0,sample_56,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e5_000000000000000013e5_0_000000000000000013e5_0,1688.0,39.5596656799,1017.0,2940.15307617,0,0,CFAM3,13.9611129761,859305.0,7915515.0,1020.44110107,443.0,5449.44042969,7167.74023438,1639.32910156,0.0177035089582,44796.0,0,31558,0,0,0.0,sample_57,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c4_000000000000000013c4_0_000000000000000013c4_0,1639.0,122.005386353,1026.0,3493.67993164,0,0,CFAM3,8.93563175201,853605.0,7915665.0,1301.46069336,95.0,5822.86035156,10714.3691406,3478.57739258,0.0169917605817,46495.9960938,0,31934,0,0,0.0,sample_58,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c5_000000000000000013c5_0_000000000000000013c5_0,1639.0,66.0375137329,1005.0,3443.73339844,0,0,CFAM3,4.6919670105,853755.0,7915665.0,1236.93164063,108.0,5864.82714844,10606.9414063,3332.56665039,0.0170852448791,46452.6679688,0,31935,0,0,0.0,sample_59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c6_000000000000000013c6_0_000000000000000013c6_0,1670.0,341.565063477,1042.0,3361.74072266,0,0,CFAM3,3.76924395561,854055.0,7915665.0,1138.41992188,67.0,5864.21337891,10394.4697266,3041.70996094,0.017551055178,46284.765625,0,31937,0,0,0.0,sample_60,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c7_000000000000000013c7_0_000000000000000013c7_0,1670.0,293.962493896,1004.0,3305.04150391,0,0,CFAM3,13.8323030472,854355.0,7915665.0,1081.66540527,67.0,5730.70654297,10183.1328125,2752.81665039,0.0165576282889,46164.5234375,0,31939,0,0,0.0,sample_61,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c8_000000000000000013c8_0_000000000000000013c8_0,1670.0,317.290618896,1013.0,3286.60913086,0,0,CFAM3,8.38679790497,854505.0,7915665.0,1083.74353027,124.0,5668.72998047,10078.9736328,2609.31030273,0.0169982500374,46087.0585938,0,31940,0,0,0.0,sample_62,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013c9_000000000000000013c9_0_000000000000000013c9_0,1670.0,104.420776367,1004.0,3274.95043945,0,0,CFAM3,8.56312847137,854655.0,7915665.0,1041.39331055,30.0,5610.08007813,9975.98144531,2466.57666016,0.0170827526599,46049.1367188,0,31941,0,0,0.0,sample_63,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ca_000000000000000013ca_0_000000000000000013ca_0,1679.0,336.037506104,1022.0,3272.20117188,0,0,CFAM3,4.6919670105,854955.0,7915665.0,834.086303711,134.0,5503.18066406,9773.6484375,2181.97167969,0.0167755633593,45902.8203125,0,31943,0,0,0.0,sample_64,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013cb_000000000000000013cb_0_000000000000000013cb_0,1679.0,0.0,1017.0,3281.12792969,0,0,CFAM3,17.5712585449,855105.0,7915665.0,721.248901367,277.0,5455.13525391,9674.38378906,2040.22058105,0.0167901534587,45867.5820313,0,31944,0,0,0.0,sample_65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013cc_000000000000000013cc_0_000000000000000013cc_0,1679.0,3.17982935905,1028.0,3296.86206055,0,0,CFAM3,16.7235584259,855255.0,7915665.0,624.25958252,365.0,5410.82226563,9576.43945313,1897.36657715,0.0167255587876,45798.7070313,0,31945,0,0,0.0,sample_66,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013cd_000000000000000013cd_0_000000000000000013cd_0,1699.0,142.125015259,1025.0,4368.06591797,0,2015,CFAM3,8.11127948761,857805.0,7915665.0,330.0,108.0,5261.55859375,8157.18701172,228.473190308,0.0177487097681,45054.6875,0,31962,0,0,15.0,sample_67,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ce_000000000000000013ce_0_000000000000000013ce_0,1699.0,93.3664627075,1005.0,4228.29736328,2016,0,CFAM3,4.0586643219,857955.0,7915665.0,480.0,85.0,5282.47119141,8090.27197266,362.491394043,0.0177565477788,45035.5351563,0,31963,0,0,0.0,sample_68,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013cf_000000000000000013cf_0_000000000000000013cf_0,1699.0,326.768280029,1009.0,4089.25415039,0,2016,CFAM3,8.21995925903,858105.0,7915665.0,630.0,150.0,5307.54199219,8025.21044922,502.89163208,0.018549175933,44998.7109375,0,31964,0,0,16.0,sample_69,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d0_000000000000000013d0_0_000000000000000013d0_0,1699.0,195.945404053,1017.0,3951.01245117,0,2015,CFAM3,16.874540329,858255.0,7915665.0,778.845275879,268.0,5336.71240234,7962.44287109,644.127319336,0.0184047464281,44981.0390625,0,31965,0,0,15.0,sample_70,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d1_000000000000000013d1_0_000000000000000013d1_0,1714.0,141.788970947,1018.0,3813.65966797,0,0,CFAM3,13.9949798584,858405.0,7915665.0,924.175292969,391.0,5369.91601563,7902.02490234,780.0,0.0185742266476,44947.1679688,0,31966,0,0,0.0,sample_71,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d2_000000000000000013d2_0_000000000000000013d2_0,1714.0,55.0079803467,997.0,3677.29516602,0,0,CFAM3,5.80822324753,858555.0,7915665.0,1070.79406738,283.0,5406.16308594,7844.01025391,920.271728516,0.0175425671041,44915.25,0,31967,0,0,0.0,sample_72,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d3_000000000000000013d3_0_000000000000000013d3_0,1714.0,261.869903564,1001.0,3542.03320313,2020,2015,CFAM3,10.0249881744,858705.0,7915665.0,1207.84936523,175.0,5443.90478516,7758.93017578,1056.83483887,0.0169781316072,44900.015625,0,31968,0,0,15.0,sample_73,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d4_000000000000000013d4_0_000000000000000013d4_0,1714.0,56.725112915,1000.0,3408.00537109,0,0,CFAM3,17.6906547546,858855.0,7915665.0,1179.57617188,162.0,5485.48974609,7629.97363281,1182.24365234,0.016150387004,44870.9921875,0,31969,0,0,0.0,sample_74,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d5_000000000000000013d5_0_000000000000000013d5_0,1714.0,209.538787842,1002.0,3275.36254883,0,0,CFAM3,16.0319519043,859005.0,7915665.0,1170.0,247.0,5425.02539063,7501.79980469,1306.98120117,0.0166649315506,44843.8789063,0,31970,0,0,0.0,sample_75,"{""type"":""MultiPoint"",""coordinates"":[]}"
